benchmark_id,canonical_id,canonical_name_provisional,x_source_px,y_source_px,x_crop_px,y_crop_px,visibility
flm_80c1a7fc667f677e,1,snout_tip,68.0,319.0,24.615384615384613,214.88150312728362,2
flm_80c1a7fc667f677e,2,nape_dorsal_outline,118.0,298.0,49.843648772187315,205.25115870897497,2
flm_80c1a7fc667f677e,3,dorsal_fin_origin,229.0,283.0,105.3313549282546,199.60815143883718,2
flm_80c1a7fc667f677e,4,dorsal_fin_insertion,306.0,290.0,143.5371181528223,204.3557985709126,2
flm_80c1a7fc667f677e,5,upper_caudal_fin_insertion,733.0,285.0,356.1247141333047,208.876621134679,2
flm_80c1a7fc667f677e,6,posterior_caudal_peduncle_midpoint,735.0,297.0,356.9230769230769,214.88150312728362,2
flm_80c1a7fc667f677e,7,lower_caudal_fin_insertion,729.0,307.0,353.7729015039943,219.75972361282652,2
flm_80c1a7fc667f677e,8,anal_fin_origin,351.0,377.0,164.50421418589673,248.39184856116282,2
flm_80c1a7fc667f677e,9,pelvic_fin_origin,227.0,376.0,102.80942387271239,245.85872550389485,2
flm_80c1a7fc667f677e,10,pectoral_fin_base,138.0,367.0,58.664438398997966,239.91875712129968,2
flm_80c1a7fc667f677e,11,posterior_opercular_margin,161.0,331.0,70.70180932179751,222.38014428355552,2
